City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Makinsk,KZ,52.6292,70.4169,46.2,55,100,7.81,overcast clouds
151,Pasaje,EC,-3.3333,-79.8167,84.07,58,83,8.61,broken clouds
152,Kutahya,TR,39.4242,29.9833,71.19,36,6,2.46,clear sky
153,Viedma,AR,-40.8135,-62.9967,75.72,22,100,14.38,overcast clouds
154,Sur,OM,22.5667,59.5289,89.46,53,9,9.69,clear sky
155,Nuristan,AF,35.3,70.8333,43.12,58,5,4.79,clear sky
156,Artvin,TR,41.1667,41.8333,67.37,52,13,1.83,few clouds
157,Benguela,AO,-12.5763,13.4055,71.65,79,31,3.13,scattered clouds
158,Tucuma,BR,-0.1833,-50.05,88.2,57,20,9.24,few clouds
159,Salcininkai,LT,54.3,25.3833,52.84,69,17,9.06,few clouds
160,Kargopol,RU,61.5071,38.9456,51.08,96,100,6.98,light rain
161,Thinadhoo,MV,0.5333,72.9333,81.37,69,14,4.29,few clouds
162,Prado,BR,-17.3411,-39.2208,77.95,67,2,9.95,clear sky
163,Tabas,IR,33.5959,56.9244,86.58,9,0,6.6,clear sky
164,Harlingen,US,26.1906,-97.6961,92.98,73,75,6.91,broken clouds
165,Camacha,PT,33.0833,-16.3333,72.82,78,75,14.97,broken clouds
166,Oistins,BB,13.0667,-59.5333,84.54,71,100,16.96,overcast clouds
167,Lamovita,BA,44.9256,16.9072,56.12,99,100,3.0,light rain
168,Saint-Pierre,RE,-21.3393,55.4781,69.48,73,20,11.5,few clouds
169,Lalgudi,IN,10.8667,78.8333,82.72,78,40,3.44,mist
170,Calahorra,ES,42.3051,-1.9652,67.91,62,6,14.65,clear sky
171,Namibe,AO,-15.1961,12.1522,67.41,87,100,9.64,overcast clouds
172,Vestmannaeyjar,IS,63.4427,-20.2734,50.29,83,100,8.19,overcast clouds
173,Shache,CN,38.4167,77.2406,77.72,20,100,6.53,overcast clouds
174,Velyka Bahachka,UA,49.7912,33.7226,57.43,84,15,6.69,few clouds
175,Ostrovnoy,RU,68.0531,39.5131,48.7,98,100,4.65,overcast clouds
176,Saint-Augustin,CA,51.226,-58.6502,50.58,72,100,19.06,overcast clouds
177,Tamandare,BR,-8.7597,-35.1047,79.16,58,48,8.14,scattered clouds
178,Vila Velha,BR,-20.3297,-40.2925,70.95,90,83,11.99,broken clouds
179,Taltal,CL,-25.4,-70.4833,61.2,68,100,4.23,overcast clouds
180,Carauari,BR,-4.8828,-66.8958,96.31,33,100,2.8,overcast clouds
181,Christchurch,NZ,-43.5333,172.6333,41.95,85,5,2.3,clear sky
182,Koslan,RU,63.4564,48.8989,51.03,92,97,5.88,overcast clouds
183,Santiago,CL,-33.4569,-70.6483,70.99,44,100,7.81,overcast clouds
184,Le Vauclin,MQ,14.5452,-60.8388,89.65,66,20,14.97,few clouds
185,Pachino,IT,36.7186,15.0907,78.62,77,0,12.59,clear sky
186,Chato,TZ,-2.6378,31.7669,70.95,66,0,4.72,clear sky
187,Skelleftea,SE,64.7507,20.9528,53.01,100,100,11.5,moderate rain
188,La Asuncion,VE,11.0333,-63.8628,85.64,68,99,7.74,overcast clouds
189,Mbandaka,CD,0.0487,18.2603,74.28,86,100,4.07,overcast clouds
190,Ponta Delgada,PT,37.7333,-25.6667,78.49,94,20,13.8,few clouds
191,Clyde River,CA,70.4692,-68.5914,37.63,100,100,10.36,fog
192,Sembe,CG,1.6481,14.5806,70.83,99,82,3.0,moderate rain
193,Calatayud,ES,41.3535,-1.6432,69.06,47,17,7.83,few clouds
194,Alberton,CA,46.8168,-64.0654,52.74,67,100,27.51,overcast clouds
195,Marzuq,YE,14.4,46.4667,82.2,43,100,4.16,overcast clouds
196,Carnarvon,AU,-24.8667,113.6333,65.12,62,0,13.09,clear sky
197,Klaksvik,FO,62.2266,-6.589,49.12,77,89,16.58,overcast clouds
198,San Carlos De Bariloche,AR,-41.1456,-71.3082,42.24,86,100,2.62,overcast clouds
199,Kaduy,RU,59.2,37.15,51.66,98,100,5.73,overcast clouds
200,Jackson,US,42.4165,-122.8345,71.92,53,0,5.01,clear sky
201,Manta,EC,-0.95,-80.7333,76.42,68,100,14.97,overcast clouds
202,Vicuna,CL,-30.0319,-70.7081,74.77,41,100,8.86,overcast clouds
203,Vuktyl,RU,63.8567,57.3094,53.11,68,100,7.4,overcast clouds
204,San Cristobal,VE,7.7669,-72.225,82.58,66,100,6.44,overcast clouds
205,Varazdin,HR,46.3044,16.3378,56.8,75,100,2.57,light rain
206,Demba,CD,-5.51,22.2667,73.51,71,53,2.1,broken clouds
207,Kidal,ML,18.4411,1.4078,95.31,25,27,10.74,scattered clouds
208,Faya,SA,18.3851,42.4509,68.52,41,82,4.7,broken clouds
209,Felipe Carrillo Puerto,MX,19.5833,-88.05,83.95,82,98,5.55,overcast clouds
210,Boa Vista,BR,2.8197,-60.6733,93.18,43,40,6.91,scattered clouds
211,Biltine,TD,14.5333,20.9167,78.46,67,81,8.86,broken clouds
212,Oranjemund,NA,-28.55,16.4333,57.63,90,100,11.48,overcast clouds
213,Arlit,NE,18.7369,7.3853,92.77,33,42,20.47,scattered clouds
214,Porto Nacional,BR,-10.7081,-48.4172,96.8,14,7,3.44,clear sky
215,Bahir Dar,ET,11.5936,37.3908,61.39,88,85,3.18,light rain
216,Quixada,BR,-4.9714,-39.0153,95.13,24,9,7.92,clear sky
217,Gamba,GA,-2.65,10.0,75.07,81,89,8.03,overcast clouds
218,Kattivakkam,IN,13.2167,80.3167,86.09,69,17,8.77,few clouds
219,Aswan,EG,24.0934,32.907,86.09,20,57,11.59,broken clouds
220,Najran,SA,17.4924,44.1277,81.25,24,71,6.46,broken clouds
221,Sernur,RU,56.9333,49.1536,46.62,91,14,6.93,few clouds
222,Belyy Yar,RU,53.6039,91.3903,44.85,68,0,4.47,clear sky
223,Hazorasp,UZ,41.3194,61.0742,62.44,42,99,13.91,overcast clouds
224,Ferme-Neuve,CA,46.7001,-75.4493,60.93,37,22,5.57,few clouds
225,Olsztyn,PL,53.7799,20.4942,53.56,50,99,14.07,overcast clouds
226,Kirchzarten,DE,47.9667,7.95,55.49,87,14,3.67,few clouds
227,Sinnamary,GF,5.3833,-52.95,84.83,70,31,11.7,scattered clouds
228,Igarka,RU,67.4667,86.5833,31.46,73,99,5.91,overcast clouds
229,Villa Rica,US,33.7321,-84.9191,83.59,63,0,5.5,clear sky
230,Los Teques,VE,10.3445,-67.0433,77.22,64,100,3.38,overcast clouds
231,Fontem,CM,5.4685,9.8818,65.21,96,100,0.76,overcast clouds
232,Vallenar,CL,-28.5708,-70.7581,72.55,34,100,8.46,overcast clouds
233,Balkhash,KZ,46.844,74.9804,53.56,36,10,18.88,clear sky
234,Lebanon,US,36.2081,-86.2911,87.94,49,0,9.22,clear sky
235,Riyadh,SA,24.6877,46.7219,89.74,17,0,8.75,clear sky
236,Auray,FR,47.6703,-2.9918,62.74,63,0,14.7,clear sky
237,Pisco,PE,-13.7,-76.2167,62.65,77,13,11.5,dust
238,Razole,IN,16.4833,81.8333,77.99,87,87,4.41,overcast clouds
239,Yar-Sale,RU,66.8333,70.8333,50.02,82,100,8.86,overcast clouds
240,Mumford,GH,5.2618,-0.759,75.81,90,17,7.85,few clouds
241,Kurchum,KZ,48.5722,83.6542,49.75,47,0,4.97,clear sky
242,Abu Dhabi,AE,24.4667,54.3667,93.22,54,0,11.5,clear sky
243,Wilmington,US,34.2257,-77.9447,85.91,49,20,12.66,few clouds
244,Aksarka,RU,66.5606,67.7975,53.22,72,100,11.18,overcast clouds
245,Rennes,FR,48.1667,-1.6667,57.24,62,0,8.05,clear sky
246,Este,IT,45.2229,11.6587,70.95,79,75,6.02,broken clouds
247,Tahta,EG,26.7693,31.5021,82.04,30,0,6.13,clear sky
248,Castro,BR,-24.7911,-50.0119,58.86,75,97,6.76,overcast clouds
249,Olinda,BR,-8.0089,-34.8553,78.53,60,3,9.51,clear sky
250,Peniche,PT,39.3558,-9.3811,71.29,88,3,9.6,clear sky
251,Palasa,IN,18.7667,84.4167,80.55,86,88,5.03,overcast clouds
252,Kasangulu,CD,-4.5911,15.1708,76.03,67,52,5.61,light rain
253,Kyshtovka,RU,56.555,76.6271,52.39,62,100,4.16,overcast clouds
254,Petauke,ZM,-14.2426,31.3253,73.51,33,0,9.53,clear sky
255,Grand Gaube,MU,-20.0064,57.6608,70.38,74,1,5.99,clear sky
256,Puerto El Triunfo,SV,13.2833,-88.55,84.85,70,100,6.85,overcast clouds
257,Marabba,SD,12.35,32.1833,80.92,68,97,13.2,overcast clouds
258,Andenes,NO,69.3143,16.1194,51.93,82,75,14.97,broken clouds
259,Karoi,ZW,-16.8099,29.6925,65.62,46,0,4.99,clear sky
260,Madingou,CG,-4.1536,13.55,79.74,61,93,6.13,overcast clouds
261,Malakal,SS,9.5334,31.6605,72.09,94,99,3.24,overcast clouds
262,Nioro,GM,13.35,-15.75,81.75,81,100,5.12,light rain
263,Souillac,MU,-20.5167,57.5167,70.18,83,75,12.66,light rain
264,Esna,EG,25.2934,32.554,83.75,24,0,10.49,clear sky
265,Voyinka,UA,45.8699,33.9914,69.96,72,94,8.5,overcast clouds
266,Paamiut,GL,61.994,-49.6678,46.54,100,100,2.13,light rain
267,Cap Malheureux,MU,-19.9842,57.6142,70.47,74,0,5.99,clear sky
268,Springfield,US,37.2153,-93.2982,82.53,48,0,7.0,clear sky
269,Ritchie,ZA,-29.038,24.6028,71.33,19,4,10.83,clear sky
270,La Rioja,ES,42.25,-2.5,58.78,85,4,5.46,clear sky
271,Yining,CN,29.0361,114.5636,68.58,77,0,0.92,clear sky
272,Dovers,VC,12.8833,-61.1833,83.3,73,69,9.17,broken clouds
273,Asfi,MA,32.2994,-9.2372,71.33,82,1,17.69,clear sky
274,Saldanha,ZA,-33.0117,17.9442,57.4,94,14,7.31,few clouds
275,Agirish,RU,61.9247,63.0231,50.4,62,100,8.57,overcast clouds
276,Inhambane,MZ,-23.865,35.3833,69.48,79,0,9.28,clear sky
277,Puerto Ayacucho,VE,5.6639,-67.6236,80.4,85,100,6.82,light rain
278,Bengkulu,ID,-3.8004,102.2655,74.98,91,100,3.78,overcast clouds
279,Vangaindrano,MG,-23.35,47.6,65.97,92,14,5.73,light rain
280,Mangan,IN,27.5167,88.5333,74.75,94,100,1.86,overcast clouds
281,Ambagarh Chauki,IN,20.7833,80.7167,73.36,96,85,10.04,overcast clouds
282,Alcains,PT,39.9164,-7.4566,78.57,59,0,3.71,clear sky
283,Effium,NG,6.6292,8.0593,74.37,94,100,5.7,overcast clouds
284,Kabelvag,NO,68.2114,14.4817,53.6,76,0,10.36,clear sky
285,Acajutla,SV,13.5928,-89.8275,82.78,76,100,9.08,overcast clouds
286,Kashi,CN,39.4547,75.9797,74.19,27,100,11.21,overcast clouds
287,Nanortalik,GL,60.1432,-45.2371,50.83,81,100,7.2,light rain
288,Kraliky,CZ,50.0838,16.7605,52.84,96,13,3.58,few clouds
289,Ginir,ET,7.1333,40.7,63.95,59,39,6.91,scattered clouds
290,Mombaca,BR,-5.7431,-39.6275,95.94,25,6,6.4,clear sky
291,Torbay,CA,47.6666,-52.7314,62.28,84,95,7.0,light rain
292,Taoudenni,ML,22.6783,-3.9836,102.07,10,0,10.98,clear sky
293,Udala,ES,43.0778,-2.5125,62.19,96,20,4.05,few clouds
294,Amapa,BR,1.0,-52.0,94.93,35,64,2.51,broken clouds
295,Oak Ridge,US,36.0104,-84.2696,84.25,56,20,0.0,few clouds
296,Kvareli,GE,41.9524,45.8151,68.29,51,6,6.15,clear sky
297,Salinopolis,BR,-0.6136,-47.3561,82.58,67,32,14.12,scattered clouds
298,Villapinzon,CO,5.2162,-73.5949,59.27,75,100,8.14,light rain
299,Hamilton,US,39.1834,-84.5333,85.98,55,0,6.91,clear sky
300,Kismayo,SO,-0.3582,42.5454,76.19,80,74,16.02,broken clouds
