City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Sulina,RO,2022-09-13 18:03:02,45.1559,29.6536,60.13,63,35,9.93
99,Lasa,IT,2022-09-13 18:03:03,46.6166,10.7002,63.7,75,51,1.97
100,Rio Grande,BR,2022-09-13 18:03:03,-32.035,-52.0986,61.95,76,65,15.59
101,Honningsvag,NO,2022-09-13 18:03:04,70.9821,25.9704,44.35,70,100,6.91
102,Inhambane,MZ,2022-09-13 18:03:04,-23.865,35.3833,68.85,68,80,14.81
103,Bingol,TR,2022-09-13 18:03:05,38.8847,40.4939,71.71,39,10,9.35
104,Touros,BR,2022-09-13 18:03:05,-5.1989,-35.4608,81.64,69,69,15.68
105,Dwarka,IN,2022-09-13 18:03:06,22.2394,68.9678,79.5,87,100,10.89
106,Rusape,ZW,2022-09-13 18:03:07,-18.5278,32.1284,60.96,47,3,12.24
107,Krasnovka,RU,2022-09-13 18:03:08,48.8177,40.0923,63.41,63,89,10.25
108,Ocean Springs,US,2022-09-13 18:03:09,30.4113,-88.8278,82.42,53,0,5.75
109,Emba,KZ,2022-09-13 18:03:10,48.8264,58.1442,61.32,33,42,10.07
110,Lebu,CL,2022-09-13 18:03:10,-37.6167,-73.65,55.18,69,10,8.88
111,Luderitz,NA,2022-09-13 18:03:10,-26.6481,15.1594,69.48,38,23,7.29
112,Ugoofaaru,MV,2022-09-13 18:03:11,5.6667,73.0,81.07,78,64,4.54
113,Hambantota,LK,2022-09-13 18:03:11,6.1241,81.1185,78.46,87,83,13.82
114,Ekibastuz,KZ,2022-09-13 18:03:12,51.6667,75.3667,49.42,45,30,6.51
115,Wala,CM,2022-09-13 18:03:12,4.578,12.3154,68.81,92,92,1.9
116,Bereda,ES,2022-09-13 18:03:12,43.2686,-7.5406,67.41,99,99,5.17
117,San Pedro,PH,2022-09-13 18:03:13,14.35,121.0167,82.35,90,79,5.3
118,Ilhabela,BR,2022-09-13 18:03:13,-23.7781,-45.3581,73.76,75,99,0.63
119,Ilulissat,GL,2022-09-13 18:03:14,69.2167,-51.1,42.82,81,75,3.44
120,Los Llanos De Aridane,ES,2022-09-13 18:03:14,28.6585,-17.9182,73.15,87,20,5.01
121,Abancay,PE,2022-09-13 18:03:15,-13.6339,-72.8814,76.64,34,92,9.19
122,Aquidauana,BR,2022-09-13 17:59:39,-20.4711,-55.7872,95.32,31,53,6.73
123,Ponta Do Sol,PT,2022-09-13 18:03:15,32.6667,-17.1,78.71,78,67,11.95
124,Mariental,NA,2022-09-13 18:03:16,-24.6333,17.9667,70.95,10,0,9.98
125,Talnakh,RU,2022-09-13 18:03:16,69.4865,88.3972,33.85,99,100,5.14
126,Longyearbyen,SJ,2022-09-13 18:03:17,78.2186,15.6401,37.24,70,40,5.75
127,Faya,SA,2022-09-13 18:03:17,18.3851,42.4509,72.39,55,67,3.94
128,Beyneu,KZ,2022-09-13 18:03:17,45.3167,55.2,65.32,40,26,21.3
129,Cidreira,BR,2022-09-13 18:03:18,-30.1811,-50.2056,66.74,66,22,13.15
130,Hobyo,SO,2022-09-13 18:03:18,5.3505,48.5268,76.75,86,69,26.78
131,Nacala,MZ,2022-09-13 18:03:19,-14.5428,40.6728,73.26,80,3,8.97
132,Beira,MZ,2022-09-13 18:03:19,-19.8436,34.8389,75.29,73,40,13.49
133,Mancio Lima,BR,2022-09-13 18:04:20,-7.6142,-72.8958,95.54,33,23,4.97
134,Sinazongwe,ZM,2022-09-13 18:04:22,-17.2614,27.4618,77.99,40,2,3.47
135,Vilhena,BR,2022-09-13 18:04:22,-12.7406,-60.1458,95.49,23,49,1.88
136,Nanortalik,GL,2022-09-13 18:04:23,60.1432,-45.2371,45.73,80,11,4.68
137,Iqaluit,CA,2022-09-13 18:04:23,63.7506,-68.5145,41.7,86,100,5.99
138,Porto Novo,BJ,2022-09-13 18:00:33,6.4965,2.6036,76.84,84,75,6.93
139,Hofn,IS,2022-09-13 18:04:24,64.2539,-15.2082,51.44,73,54,5.88
140,Skjervoy,NO,2022-09-13 18:04:24,70.0311,20.9714,46.4,68,92,10.76
141,Port Said,EG,2022-09-13 18:00:27,31.2565,32.2841,80.83,69,0,16.69
142,Ponta Delgada,PT,2022-09-13 18:04:25,37.7333,-25.6667,75.92,78,20,16.11
143,Praia Da Vitoria,PT,2022-09-13 18:04:25,38.7333,-27.0667,74.75,93,95,3.56
144,Atkarsk,RU,2022-09-13 18:04:26,51.8718,45.0078,54.03,87,100,22.86
145,The Valley,AI,2022-09-13 18:04:26,18.217,-63.0578,88.11,71,15,12.19
146,Berlevag,NO,2022-09-13 18:04:26,70.8578,29.0864,44.4,72,96,12.35
147,Tessalit,ML,2022-09-13 18:02:15,20.1986,1.0114,102.02,11,25,7.02
